starttime	seconds	ctime	dtime	ttime	wait
Wed Aug 28 12:36:22 2013	1377668182	0	124	124	77
Wed Aug 28 12:37:03 2013	1377668223	0	124	125	76
Wed Aug 28 12:36:20 2013	1377668180	0	125	125	75
Wed Aug 28 12:36:37 2013	1377668197	0	125	125	77
Wed Aug 28 12:36:36 2013	1377668196	0	125	125	75
Wed Aug 28 12:37:05 2013	1377668225	0	125	125	77
Wed Aug 28 12:37:06 2013	1377668226	0	125	125	78
Wed Aug 28 12:36:23 2013	1377668183	0	125	125	77
Wed Aug 28 12:36:40 2013	1377668200	1	125	125	78
Wed Aug 28 12:36:36 2013	1377668196	0	125	125	76
Wed Aug 28 12:36:55 2013	1377668215	0	125	125	74
Wed Aug 28 12:37:01 2013	1377668221	1	125	125	75
Wed Aug 28 12:36:27 2013	1377668187	0	125	125	77
Wed Aug 28 12:36:27 2013	1377668187	0	125	125	75
Wed Aug 28 12:36:37 2013	1377668197	0	125	125	101
Wed Aug 28 12:36:41 2013	1377668201	0	125	126	77
Wed Aug 28 12:36:38 2013	1377668198	0	125	126	75
Wed Aug 28 12:36:48 2013	1377668208	0	125	126	92
Wed Aug 28 12:36:44 2013	1377668204	0	126	126	86
Wed Aug 28 12:36:40 2013	1377668200	0	126	126	74
Wed Aug 28 12:37:05 2013	1377668225	0	126	126	103
Wed Aug 28 12:37:06 2013	1377668226	0	126	126	79
Wed Aug 28 12:37:04 2013	1377668224	0	126	126	102
Wed Aug 28 12:36:38 2013	1377668198	1	126	126	77
Wed Aug 28 12:36:26 2013	1377668186	0	126	126	77
Wed Aug 28 12:36:35 2013	1377668195	0	126	127	77
Wed Aug 28 12:36:35 2013	1377668195	0	126	127	84
Wed Aug 28 12:37:00 2013	1377668220	0	126	127	102
Wed Aug 28 12:36:56 2013	1377668216	0	127	127	102
Wed Aug 28 12:36:40 2013	1377668200	0	127	127	78
Wed Aug 28 12:36:36 2013	1377668196	0	127	127	76
Wed Aug 28 12:36:31 2013	1377668191	0	127	127	72
Wed Aug 28 12:36:41 2013	1377668201	0	127	127	80
Wed Aug 28 12:37:03 2013	1377668223	0	127	127	80
Wed Aug 28 12:36:32 2013	1377668192	0	127	127	102
Wed Aug 28 12:36:41 2013	1377668201	0	128	128	80
Wed Aug 28 12:36:21 2013	1377668181	0	128	128	78
Wed Aug 28 12:36:32 2013	1377668192	1	127	128	104
Wed Aug 28 12:36:58 2013	1377668218	0	128	128	103
Wed Aug 28 12:36:19 2013	1377668179	0	128	128	104
Wed Aug 28 12:36:25 2013	1377668185	0	128	129	81
Wed Aug 28 12:37:07 2013	1377668227	0	128	129	81
Wed Aug 28 12:36:43 2013	1377668203	0	128	129	105
Wed Aug 28 12:36:19 2013	1377668179	0	129	129	79
Wed Aug 28 12:36:21 2013	1377668181	0	129	129	104
Wed Aug 28 12:37:05 2013	1377668225	0	129	129	82
Wed Aug 28 12:36:26 2013	1377668186	0	129	129	80
Wed Aug 28 12:36:58 2013	1377668218	0	129	129	80
Wed Aug 28 12:37:02 2013	1377668222	0	129	129	82
Wed Aug 28 12:36:32 2013	1377668192	0	129	129	105
Wed Aug 28 12:37:04 2013	1377668224	0	129	129	82
Wed Aug 28 12:37:03 2013	1377668223	0	129	129	81
Wed Aug 28 12:36:27 2013	1377668187	0	130	130	81
Wed Aug 28 12:36:32 2013	1377668192	0	130	130	79
Wed Aug 28 12:37:03 2013	1377668223	0	130	130	82
Wed Aug 28 12:36:21 2013	1377668181	0	130	131	82
Wed Aug 28 12:36:26 2013	1377668186	0	131	131	82
Wed Aug 28 12:36:43 2013	1377668203	1	130	131	82
Wed Aug 28 12:36:35 2013	1377668195	0	131	131	81
Wed Aug 28 12:36:32 2013	1377668192	0	131	131	102
Wed Aug 28 12:36:57 2013	1377668217	0	131	132	83
Wed Aug 28 12:36:29 2013	1377668189	0	132	132	74
Wed Aug 28 12:36:35 2013	1377668195	0	132	132	91
Wed Aug 28 12:36:55 2013	1377668215	0	132	132	108
Wed Aug 28 12:36:22 2013	1377668182	0	132	133	85
Wed Aug 28 12:36:44 2013	1377668204	0	132	133	93
Wed Aug 28 12:36:26 2013	1377668186	0	132	133	85
Wed Aug 28 12:37:05 2013	1377668225	0	133	133	108
Wed Aug 28 12:36:31 2013	1377668191	0	133	133	85
Wed Aug 28 12:36:59 2013	1377668219	0	133	133	80
Wed Aug 28 12:36:48 2013	1377668208	0	133	133	92
Wed Aug 28 12:36:48 2013	1377668208	0	133	133	91
Wed Aug 28 12:36:25 2013	1377668185	0	133	133	109
Wed Aug 28 12:36:26 2013	1377668186	0	133	133	85
Wed Aug 28 12:36:41 2013	1377668201	0	133	134	109
Wed Aug 28 12:36:41 2013	1377668201	0	134	134	86
Wed Aug 28 12:37:02 2013	1377668222	0	134	135	110
Wed Aug 28 12:37:00 2013	1377668220	0	135	135	110
Wed Aug 28 12:36:19 2013	1377668179	0	135	135	87
Wed Aug 28 12:36:23 2013	1377668183	0	135	135	85
Wed Aug 28 12:36:43 2013	1377668203	0	136	136	112
Wed Aug 28 12:37:07 2013	1377668227	0	136	136	112
Wed Aug 28 12:36:47 2013	1377668207	0	136	136	111
Wed Aug 28 12:36:32 2013	1377668192	0	136	137	85
