starttime	seconds	ctime	dtime	ttime	wait
Wed Aug 28 12:36:48 2013	1377668208	0	284	284	154
Wed Aug 28 12:37:00 2013	1377668220	0	285	285	129
Wed Aug 28 12:36:47 2013	1377668207	0	286	286	209
Wed Aug 28 12:36:38 2013	1377668198	0	287	288	189
Wed Aug 28 12:36:55 2013	1377668215	0	289	289	175
Wed Aug 28 12:36:54 2013	1377668214	0	290	290	177
Wed Aug 28 12:36:38 2013	1377668198	0	300	300	260
Wed Aug 28 12:36:17 2013	1377668177	0	301	302	174
Wed Aug 28 12:36:46 2013	1377668206	0	302	302	242
Wed Aug 28 12:36:54 2013	1377668214	0	302	302	178
Wed Aug 28 12:36:46 2013	1377668206	0	303	303	157
Wed Aug 28 12:36:57 2013	1377668217	0	307	307	273
Wed Aug 28 12:36:33 2013	1377668193	0	310	310	179
Wed Aug 28 12:36:50 2013	1377668210	0	312	313	155
Wed Aug 28 12:36:52 2013	1377668212	0	314	314	176
Wed Aug 28 12:36:49 2013	1377668209	0	315	315	243
Wed Aug 28 12:36:52 2013	1377668212	0	319	320	183
Wed Aug 28 12:36:52 2013	1377668212	0	320	320	177
Wed Aug 28 12:36:42 2013	1377668202	0	324	324	191
Wed Aug 28 12:36:47 2013	1377668207	0	324	325	224
Wed Aug 28 12:36:57 2013	1377668217	0	325	326	261
Wed Aug 28 12:36:52 2013	1377668212	0	330	331	184
Wed Aug 28 12:36:53 2013	1377668213	0	335	335	209
Wed Aug 28 12:36:57 2013	1377668217	0	338	338	268
Wed Aug 28 12:37:04 2013	1377668224	0	340	340	73
Wed Aug 28 12:37:07 2013	1377668227	0	342	342	74
Wed Aug 28 12:37:06 2013	1377668226	0	342	343	73
Wed Aug 28 12:36:54 2013	1377668214	0	344	345	239
Wed Aug 28 12:37:06 2013	1377668226	0	345	345	72
Wed Aug 28 12:37:06 2013	1377668226	0	345	346	75
Wed Aug 28 12:36:28 2013	1377668188	0	346	347	79
Wed Aug 28 12:36:22 2013	1377668182	0	347	347	76
Wed Aug 28 12:36:26 2013	1377668186	0	347	348	76
Wed Aug 28 12:36:23 2013	1377668183	0	349	349	82
